Country,Population,GDP
Honduras,9904608,"23,827,859,694.7921"
Somalia,15893219,"6,883,000,000.0"
Cayman Islands,65720,"5,647,224,973.03878"
Italy,59554023,"1,897,210,466,667.52"
Andorra,77265,"2,891,001,149.40074"
Ecuador,17643060,"99,291,124,000.0"
Kenya,53771300,"100,657,505,600.655"
Bahrain,1701583,"34,621,807,712.766"
United Kingdom,67215293,"2,704,609,160,088.15"
Guinea,13132792,"14,177,835,840.8311"
Zimbabwe,14862927,"21,509,698,406.1116"
Guam,168783,"5,886,000,000.0"
Australia,25687041,"1,326,944,627,876.87"
Slovenia,2100126,"53,706,800,043.6833"
Belarus,9398861,"61,371,755,326.2351"
Thailand,69799978,"500,457,261,548.076"
New Zealand,5084300,"212,569,779,569.515"
Tunisia,11818618,"42,538,462,678.1201"
Marshall Islands,59194,"241,722,400.0"
Sierra Leone,7976985,"4,062,906,363.55623"
Bhutan,771612,"2,325,185,520.59339"
United States,329484123,"21,060,473,613,000.0"
Switzerland,8654622,"739,913,619,797.445"
Gabon,2225728,"15,314,577,167.8199"
Dominica,71991,"504,214,814.814815"
Canada,38005238,"1,647,598,402,302.68"
Trinidad and Tobago,1399491,"21,059,428,846.0153"
Puerto Rico,3194034,"103,130,900,000.0"
Singapore,5685807,"348,392,174,863.651"
Hungary,9749763,"157,227,094,449.074"
Costa Rica,5094114,"62,395,610,764.0705"
Israel,9216900,"413,267,669,231.522"
Bulgaria,6927288,"70,404,359,049.232"
Azerbaijan,10110116,"42,693,000,000.0"
Timor-Leste,1318442,"2,158,392,500.0"
Croatia,4047200,"57,624,938,982.3606"
