Geography,Canada,Canada,Canada,Canada,Canada,Canada,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Ontario 10,Ontario 11,Ontario 12,Ontario 13,Ontario 14,Ontario 15,Alberta 11,Alberta 12,Alberta 13,Alberta 14,Alberta 15,Alberta 16,British Columbia 12,British Columbia 13,British Columbia 14,British Columbia 15,British Columbia 16,British Columbia 17
International Standard Classification of Education (ISCED) 7,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,
Fall School Year ,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius  [32480],"1,101","1,002",36,33,12,9,177,153,12,12,3,3,477,471,6,3,3,3,51,45,0,3,..,..,99,87,9,3,0,0
Mozambique  [32508],21,30,3,6,3,3,3,3,..,3,0,0,9,12,0,0,0,0,3,3,..,..,..,..,3,6,..,..,..,..
Réunion  [32638],198,189,3,..,0,0,195,189,3,..,0,0,0,0,..,..,..,..,..,..,..,..,..,..,3,..,..,..,..,..
Rwanda  [32646],669,699,84,93,39,39,141,135,54,51,18,21,276,318,18,24,15,15,33,36,0,0,3,0,57,57,3,6,3,3
Seychelles  [32690],6,3,0,..,..,..,0,..,0,..,..,..,3,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,..
Somalia  [32706],141,132,18,21,0,0,3,0,3,0,..,..,84,81,15,15,..,..,42,39,3,3,..,..,6,6,..,0,0,0
Zimbabwe  [32716],687,696,33,42,21,27,12,9,3,3,0,3,126,135,9,12,6,9,63,72,0,3,6,6,192,177,3,6,3,3
South Sudan  [33728],12,12,..,..,..,..,3,0,..,..,..,..,9,3,..,..,..,..,..,0,..,..,..,..,..,0,..,..,..,..
Uganda  [32800],492,486,45,45,24,24,15,12,9,6,3,3,222,246,18,21,9,6,42,33,3,6,3,0,93,84,9,6,6,6
Tanzania  [32834],552,549,24,30,18,24,12,15,3,3,3,3,270,249,6,9,3,6,69,78,6,6,9,9,66,72,9,6,6,3
Zambia  [32894],168,165,9,9,9,6,6,3,3,0,0,0,60,66,0,6,6,3,6,6,..,..,..,..,18,21,3,..,0,0
Algeria  [33012],"1,230","2,751",369,519,126,156,864,"2,013",360,501,111,135,231,381,0,9,9,12,9,9,3,..,3,3,6,3,..,..,..,..
Libya  [33434],357,285,30,33,204,141,90,57,6,3,72,45,123,114,12,9,54,42,30,30,0,0,12,12,33,24,3,0,15,12
Morocco  [33504],"2,664","3,675",627,786,147,174,"1,551","2,001",591,744,135,153,816,"1,302",15,27,9,18,24,27,3,3,0,0,33,36,6,3,3,0
Sudan  [33729],294,330,24,27,30,27,21,18,3,3,9,12,153,168,9,15,6,9,75,87,6,6,6,6,12,18,..,0,0,0
Western Sahara  [33732],..,0,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tunisia  [33788],"1,398","1,524",570,549,285,276,"1,176","1,248",531,504,264,258,135,183,18,15,3,9,18,18,0,0,6,0,15,18,..,..,..,..
Egypt  [33818],"2,202","2,430",270,423,447,441,399,387,60,54,123,135,951,"1,113",117,270,195,183,258,306,33,36,54,60,201,183,18,15,33,27
Angola  [34024],36,30,9,6,3,3,3,6,..,0,0,0,21,15,6,3,..,..,6,6,0,3,3,3,3,0,3,..,..,..
Cameroon  [34120],"1,899","1,929",300,312,201,228,966,"1,014",246,267,168,192,408,432,30,21,21,24,60,60,6,3,3,3,24,24,3,3,0,0
Central African Republic  [34140],36,96,6,3,3,6,24,18,6,3,3,3,9,12,..,..,0,3,..,..,..,..,..,..,..,..,..,..,..,..
Chad  [34148],84,99,18,15,15,15,45,57,15,15,15,15,30,39,..,..,..,..,6,3,..,..,..,..,..,..,..,..,..,..
"Congo, Republic of the  [34178]",198,204,36,30,9,12,105,120,30,27,9,12,39,42,3,3,0,0,9,6,..,..,0,0,6,9,..,..,..,..
"Congo,  The Democratic Republic of the  [34180]","1,653","1,863",186,156,78,84,564,585,117,108,60,72,792,"1,002",30,30,12,9,24,18,0,0,0,0,18,12,3,0,0,3
Equatorial Guinea  [34226],12,12,0,3,..,..,3,6,0,3,..,..,3,3,..,..,..,..,3,3,..,..,..,..,0,0,..,..,..,..
Gabon  [34266],162,171,27,24,18,18,114,99,27,21,18,18,39,60,..,0,..,..,0,..,..,..,3,..,3,3,..,0,..,..
Sao Tome and Principe  [34678],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana  [35072],132,105,15,18,12,6,12,6,0,0,..,..,63,54,6,6,0,0,12,3,..,..,3,0,18,18,0,3,3,3
Lesotho  [35426],9,12,..,0,0,0,..,..,..,..,..,..,3,6,..,..,3,3,..,3,..,..,..,..,3,6,..,0,0,0
Namibia  [35516],21,18,3,0,3,3,3,3,..,..,0,0,6,6,..,..,3,3,6,3,..,..,..,0,6,6,3,0,..,..
"South Africa, Republic of  [35710]",348,402,60,54,39,39,21,21,3,3,6,3,150,174,36,21,15,15,51,48,6,9,6,6,81,108,9,12,6,9
Eswatini  [35748],18,18,3,3,..,..,0,0,..,..,..,..,9,12,3,0,..,..,..,..,..,..,..,..,3,6,3,3,..,..
Asia  [4],"271,431","282,759","27,570","31,284","11,790","12,975","19,398","17,985","5,445","5,865","3,201","3,492","155,109","170,607","12,474","14,364","4,131","4,800","18,522","19,569","2,358","2,895","1,614","1,692","53,904","51,654","3,591","3,939","1,548","1,698"
Afghanistan  [41004],177,180,18,12,9,15,9,18,3,0,6,6,102,93,9,9,3,3,27,42,..,0,..,3,33,24,3,0,3,3
Azerbaijan  [41031],198,222,33,42,9,12,21,18,0,3,3,0,117,123,12,15,3,6,27,33,6,9,0,3,24,33,3,6,3,3
Bahrain  [41048],78,93,12,18,3,3,9,9,3,3,3,3,39,51,9,15,0,0,9,6,..,..,..,..,15,12,0,0,..,..
Armenia  [41051],21,30,3,3,3,6,9,6,3,..,6,6,9,12,0,3,..,3,0,3,..,..,0,0,6,9,..,0,..,..
Cyprus  [41196],15,21,0,3,0,0,3,0,..,..,..,..,9,15,..,3,..,0,0,3,0,0,..,..,0,3,..,..,0,..
Georgia  [41268],21,18,3,6,0,0,0,0,..,..,0,0,9,12,3,3,..,..,6,0,0,..,..,..,0,0,..,..,..,..
West Bank and Gaza Strip  [41275],240,279,33,36,27,30,..,..,..,..,..,..,141,165,15,21,12,15,39,54,6,6,6,6,24,24,3,3,0,0
Iran  [41364],"10,260","12,045","2,778","3,579","3,591","4,278","2,508","2,814",996,"1,101","1,176","1,395","4,086","4,887",717,"1,023","1,191","1,533",867,"1,041",291,414,429,447,"1,773","2,115",402,525,384,456
Iraq  [41368],198,210,21,15,36,36,18,21,6,3,12,12,120,126,12,6,15,15,12,18,..,3,3,6,30,24,0,..,0,3
Israel  [41376],405,408,150,135,63,51,60,60,36,30,12,15,249,237,105,90,30,21,12,18,0,3,3,0,54,63,6,6,15,9
Kazakhstan  [41398],774,816,57,54,15,24,36,30,6,3,3,9,396,423,21,18,6,9,42,45,9,15,3,3,270,270,18,12,..,3
Jordan  [41400],897,"1,005",117,132,108,114,150,156,21,24,36,33,495,561,54,69,42,42,69,90,9,15,9,15,60,69,9,9,6,9
Kuwait  [41414],456,579,249,309,15,12,87,120,72,105,3,6,162,234,111,135,3,3,81,75,33,36,0,0,12,15,..,0,3,3
Kyrgyzstan  [41417],75,99,6,6,3,3,6,3,3,0,..,..,42,57,3,3,..,..,3,3,..,3,3,3,21,27,0,..,..,..
Lebanon  [41422],"1,047","1,479",267,408,180,213,579,783,201,279,111,135,306,492,36,81,48,54,66,84,15,18,12,12,39,48,3,9,6,6
Oman  [41512],258,291,120,96,6,3,42,39,42,39,..,..,102,90,57,42,0,0,42,51,12,6,3,0,24,21,3,3,..,..
Qatar  [41634],111,120,21,24,3,3,12,15,9,9,..,..,33,33,6,6,..,..,39,36,3,3,3,3,15,12,0,..,..,..
Saudi Arabia  [41682],"1,302","1,293",666,768,270,207,273,285,189,213,45,33,684,699,369,438,135,93,81,81,42,45,21,21,93,78,12,6,33,36
Syria  [41760],450,390,57,51,33,39,81,66,15,12,15,12,204,189,24,21,9,12,54,48,6,3,3,6,48,42,6,9,3,6
Tajikistan  [41762],30,36,3,3,6,3,0,0,..,..,..,..,21,21,..,..,..,..,3,3,3,..,..,0,9,9,..,0,6,6
United Arab Emirates  [41784],402,435,69,87,18,12,69,72,27,33,6,3,174,195,36,42,6,9,21,30,6,6,0,..,66,66,3,3,0,0
Turkey  [41792],"2,922","3,069",171,201,282,309,396,357,30,27,84,93,"1,758","1,926",78,108,123,141,84,99,12,15,27,30,498,519,30,33,36,33
Turkmenistan  [41795],21,15,3,3,3,3,..,0,..,0,..,..,9,9,0,3,3,3,3,0,3,..,..,..,3,0,3,..,..,..
Uzbekistan  [41860],51,51,15,15,6,3,6,6,..,..,0,0,18,18,3,0,3,..,0,6,0,3,..,0,12,9,3,0,0,0
Yemen  [41887],366,303,57,45,45,39,57,36,3,6,15,12,174,159,18,21,12,12,69,57,24,18,9,9,33,24,9,0,6,3
China  [42156],"89,982","80,622","9,828","9,666","3,693","4,008","7,758","6,798","1,851","1,689",777,828,"51,615","48,027","4,743","4,917","1,416","1,611","6,165","5,454",744,792,630,672,"16,746","14,571","1,308","1,284",525,576
Taiwan  [42158],"2,088","2,022",108,117,135,135,93,93,18,21,33,27,"1,110","1,104",48,57,51,57,126,111,6,6,15,15,693,645,24,24,36,36
Hong Kong  [42344],"2,367","3,210",144,261,60,54,54,63,15,12,9,9,"1,059","1,581",69,108,30,30,183,246,9,15,6,6,891,"1,152",42,114,12,12
Japan  [42392],"2,091","2,262",114,108,93,84,135,126,27,12,27,21,672,747,42,45,30,27,162,153,9,12,6,6,987,"1,095",30,27,27,24
"Korea, North  [42408]",54,33,0,..,3,3,3,3,..,..,..,..,36,18,0,..,..,..,3,3,..,..,3,3,3,3,..,..,..,..
"Korea, South  [42410]","7,287","6,735",222,189,297,282,378,348,36,30,60,57,"4,173","3,873",81,63,129,132,525,417,18,15,42,24,"1,869","1,785",54,45,51,57
Macao  [42446],186,168,9,12,6,3,0,3,0,3,..,..,87,81,6,6,6,3,12,6,0,..,0,0,78,72,0,3,..,..
Mongolia  [42496],174,204,9,21,15,15,12,18,..,3,3,3,60,90,6,9,0,3,21,24,6,3,0,0,66,72,0,6,6,6
Brunei Darussalam  [43096],27,30,3,3,..,..,3,3,..,..,..,..,6,6,..,..,..,..,6,6,3,3,..,..,15,21,..,..,..,..
Myanmar  [43104],153,213,12,15,6,6,6,6,0,0,3,3,57,93,6,6,..,0,9,9,..,0,..,..,69,84,3,3,0,0
Cambodia  [43116],99,102,9,6,3,6,30,24,6,3,3,3,39,45,0,..,3,3,6,6,0,0,..,..,21,21,3,3,0,0
Indonesia  [43360],"1,554","1,728",87,84,54,45,60,45,18,12,15,15,576,660,27,30,15,15,87,102,9,6,6,6,750,855,24,27,9,6
Laos  [43418],18,21,..,0,9,6,9,9,..,..,9,6,3,6,..,0,..,..,3,3,..,..,..,..,3,6,..,..,..,..
Malaysia  [43458],"1,035",927,93,96,42,45,54,45,12,12,6,6,414,372,33,39,9,9,87,90,12,18,6,6,309,285,18,9,15,18
Philippines  [43608],"3,738","7,233",93,141,42,42,45,48,6,9,9,9,"1,971","4,092",24,54,18,18,720,"1,314",9,18,3,9,735,"1,236",33,48,6,0
Timor-Leste  [43626],0,0,..,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Singapore  [43702],750,729,66,69,45,45,30,39,6,12,9,9,174,216,36,27,18,18,24,24,3,3,3,3,492,429,15,24,18,15
Viet Nam  [43704],"10,032","9,057",342,345,201,180,684,603,87,102,108,96,"4,947","4,284",90,96,30,30,783,798,24,24,15,12,"2,532","2,361",63,48,12,12
Thailand  [43764],528,642,45,51,36,39,36,39,9,9,6,9,180,228,24,27,15,18,27,39,3,3,6,3,261,303,6,9,6,9
Bangladesh  [44050],"6,243","7,458","1,026","1,425",417,465,414,450,126,147,69,93,"2,448","2,970",330,537,126,150,645,837,120,195,87,84,810,942,108,135,36,45
Bhutan  [44064],90,135,9,15,6,3,0,0,..,0,..,..,48,87,0,3,..,..,3,6,3,3,..,..,6,9,3,9,3,0
British Indian Ocean Territory  [44086],3,9,..,..,..,..,..,..,..,..,..,..,3,6,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
Sri Lanka  [44144],"1,167","1,596",162,204,117,129,45,48,9,12,9,12,606,894,42,54,30,36,114,141,27,36,18,24,174,237,24,27,18,15
India  [44356],"117,018","128,928","9,651","11,517","1,491","1,614","4,785","3,909","1,470","1,776",426,429,"73,488","87,567","4,935","5,778",486,573,"6,657","7,215",771,978,183,195,"22,722","21,384","1,239","1,362",228,237
Maldives  [44462],6,6,..,3,0,0,3,3,..,..,..,..,3,3,..,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nepal  [44524],795,"1,413",120,141,72,69,39,36,21,18,15,12,387,879,33,33,15,12,66,90,21,30,15,15,93,138,15,18,12,15
Pakistan  [44586],"3,159","3,786",486,747,222,273,282,306,66,93,69,81,"1,491","1,857",192,306,63,75,429,552,81,123,30,42,426,435,60,87,27,33
Oceania  [5],558,564,132,123,90,93,144,105,24,18,21,18,189,198,72,63,39,39,78,93,15,15,12,9,123,144,18,24,18,21
American Samoa  [51016],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia  [51036],336,357,99,90,51,51,39,30,9,6,12,9,129,138,60,51,24,24,60,69,12,12,6,3,90,108,12,21,12,15
Solomon Islands  [51090],6,9,..,..,..,..,3,6,..,..,..,..,3,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Christmas Island  [51162],3,0,..,..,0,..,..,..,..,..,..,..,3,0,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Cocos (Keeling) Islands  [51166],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cook Islands  [51184],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji  [51242],15,18,..,0,..,..,..,..,..,..,..,..,3,6,..,..,..,..,3,3,..,0,..,..,9,9,..,..,..,..
French Polynesia  [51258],42,33,6,0,0,0,42,33,6,0,0,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kiribati  [51296],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guam  [51316],0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,..
Nauru  [51520],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Caledonia  [51540],42,24,6,3,..,..,42,24,6,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Vanuatu  [51548],0,3,0,0,..,..,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,..,..
New Zealand  [51554],105,114,21,27,36,36,15,18,3,6,6,9,48,48,12,12,15,15,15,21,3,6,6,6,21,21,3,3,9,9
Niue  [51570],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norfolk Island  [51574],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Northern Mariana Islands  [51580],..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States Minor Outlying Islands  [51581],3,3,..,..,3,3,..,..,..,..,..,..,3,3,..,..,3,3,..,..,..,..,..,..,..,..,..,..,..,..
"Micronesia, Federated States of  [51583]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Marshall Islands  [51584],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Palau  [51585],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Papua New Guinea  [51598],0,..,..,..,0,..,..,..,..,..,..,..,0,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Pitcairn  [51612],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tokelau  [51772],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tonga  [51776],0,0,..,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..
Tuvalu  [51798],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Wallis and Futuna  [51876],3,3,..,..,..,..,..,..,..,..,..,..,3,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Samoa  [51882],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antarctica and Adjacent Islands  [6],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antarctica  [61010],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bouvet Island  [61074],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Southern Territories  [61260],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Heard Island and McDonald Islands  [61334],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.., not available for a specific reference period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,All counts are randomly rounded to a multiple of 3 using the following procedure: counts which are already a multiple of 3 are not adjusted; counts one greater than a multiple of 3 are adjusted to the next lowest multiple of 3 with a probability of two-thirds and to the next highest multiple of 3 with a probability of one-third. The probabilities are reversed for counts that are one less than a multiple of 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,The data are subject to revision.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Enrolments are based on students enrolled in the postsecondary institutions at the time of the fall snapshot date, that is, a single date chosen by the institution which falls from September 30th to December 1st. Therefore students who are not enrolled during this time period are excluded and enrolment totals do not represent a full academic year. This has a greater impact on colleges as they have a continuous intake of students and shorter programs. It should also be noted, enrolments are based on program counts and not student counts. If a student is enrolled in more than one program as of the snapshot date, then all of their programs are included in the count.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Totals may not add up to the sum of all categories due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"This table uses the variant of the Classification of Instructional Programs (CIP) Canada 2016 <a href=https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1287672"" rel=""external noopener noreferrer"" target=""_blank"">Cannabis STEM and BHASE groupings (opens new window)</a> . This standard classifies fields of study into STEM (science", technology, engineering, and mathematics and computer sciences) and BHASE (business, humanities, health, arts, social science and education) categories. BHASE also includes fields in legal studies, trades, services, natural resources and conservation. Prior to 2008/2009, institutions provided an aggregated CIP code for field of study. Beginning in 2008/2009, Statistics Canada started coding field of study to the detailed CIP series but it was not until 2010/2011 that this was done uniformly across all institutions. This may cause light inconsistencies at the more detailed series of CIP, used to derive the STEM/BHASE groupings. Therefore, prior to 2010/2011," the STEM/BHASE groupings are not available in the public data tables.""",,,,,,,,,,,,,,
6,"The Standard Classification of Countries and Areas of Interest (SCCAI) 2019 is based on the international standard for country codes. All changes made as of December 31, 2019 are included in this 2019 version of the SCCAI. The list was also updated for consistency with Government of Canada norms <a href=https://www.statcan.gc.ca/eng/subjects/standard/sccai/2019/index"" rel=""external noopener noreferrer"" target=""_blank"">Standard Classification of Countries and Areas of Interest (SCCAI) 2019 (opens new window)</a>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"The International Standard Classification of Education (ISCED) is the reference classification for organising education programmes and related qualifications by education levels and fields. The basic concepts and definitions of ISCED are intended to be internationally valid and comprehensive of the full range of education systems. Data in this table are based on <a href=http://uis.unesco.org/en/topic/international-standard-classification-education-isced"" rel=""external noopener noreferrer"" target=""_blank"">ISCED 2011 (opens new window)</a>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,The immigration status variable has been renamed status of student in Canada to better reflect the elements covered by that variable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"As per the Statistics Canada Standard approved in October 2021, the Postsecondary Student Information System (PSIS) collects information on gender. However, due to low counts, the Non-binary person"" category has been rolled into ""Gender unknown"" for the purposes of dissemination. <a href=""https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1326727"" rel=""external noopener noreferrer"" target=""_blank"">""Gender unknown"" (opens new window)</a>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Beginning with the 2015/2016 reference year, data for Ontario colleges were submitted by the Ontario Ministry of Colleges and Universities (MCU) to provide more consistent data reporting across the province. This results in a break in series for Ontario colleges between 2014/2015 and 2015/2016. Additionally, with the release of data for the PSIS 2017/2018 reference year, previously imputed data for Ontario colleges for the reference years 2013/2014 and 2014/2015 were replaced with real data submitted by the Ontario Ministry of Colleges and Universities (MCU).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"In 2018/2019, one college in Alberta became a university.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"In 2013/2014, University of British Columbia  changed its methodology of calculating student registration status (full-time and part-time). This results in a break in series for British Columbia between 2012/2013 and 2013/2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 37-10-0184-01  Postsecondary enrolments, by status of student in Canada, country of citizenship and Classification of Instructional Programs, STEM and BHASE groupings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3710018401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
