Geography,Canada,Canada,Canada,Canada,Canada,Canada,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Ontario 10,Ontario 11,Ontario 12,Ontario 13,Ontario 14,Ontario 15,Alberta 11,Alberta 12,Alberta 13,Alberta 14,Alberta 15,Alberta 16,British Columbia 12,British Columbia 13,British Columbia 14,British Columbia 15,British Columbia 16,British Columbia 17
International Standard Classification of Education (ISCED) 7,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,
Fall School Year ,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico  [13630],9,6,3,3,3,3,0,0,0,0,..,..,3,3,0,0,0,..,0,0,..,..,0,0,3,3,..,..,0,0
Saint Barthélemy  [13652],0,3,..,..,..,..,0,3,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint Kitts and Nevis  [13659],45,51,0,3,..,0,3,6,..,..,..,..,21,24,0,0,..,..,3,3,..,..,..,..,3,3,..,..,..,..
Anguilla  [13660],6,9,..,..,..,..,..,..,..,..,..,..,3,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint Lucia  [13662],111,99,6,6,0,0,6,3,3,3,0,0,60,54,..,..,..,..,6,3,..,..,0,..,0,3,..,0,..,..
Saint Martin (French part)  [13663],3,12,..,..,..,..,3,9,..,..,..,..,3,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint Vincent and the Grenadines  [13670],42,45,3,9,3,3,6,3,0,0,0,0,30,27,0,3,..,..,3,6,..,0,0,0,0,0,..,0,..,..
Trinidad and Tobago  [13780],684,660,48,39,18,12,21,18,6,3,0,..,534,549,21,21,15,12,27,36,0,3,0,0,30,24,6,6,0,0
Turks and Caicos Islands  [13796],15,12,..,..,..,..,..,..,..,..,..,..,6,9,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
"Virgin Islands, United States  [13850]",0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
Argentina  [14032],207,330,45,75,45,42,54,60,21,24,12,12,99,168,21,36,18,18,15,24,3,3,3,3,27,57,3,6,3,6
Bolivia  [14068],78,123,12,15,9,6,21,21,3,0,6,6,27,48,0,6,3,3,6,12,3,3,..,3,18,33,0,3,0,..
Brazil  [14076],"5,199","4,686",564,489,696,750,723,648,177,138,294,315,"2,352","2,109",177,147,189,237,390,405,57,51,78,66,"1,254","1,089",78,78,72,78
Chile  [14152],402,588,81,102,117,117,84,87,21,21,33,33,147,246,33,36,36,33,39,63,9,12,12,12,99,138,12,21,33,27
Colombia  [14170],"2,217","2,907",303,357,261,306,450,537,132,153,111,138,"1,107","1,578",63,75,69,78,207,231,45,42,36,36,300,420,30,42,33,36
Ecuador  [14218],822,942,66,81,93,87,72,75,18,15,21,24,363,420,21,18,36,33,51,69,6,6,3,3,114,141,6,9,12,12
Falkland Islands (Malvinas)  [14238],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Georgia and the South Sandwich Islands  [14239],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Guiana  [14254],15,21,0,..,3,3,15,21,0,..,3,3,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guyana  [14328],270,258,15,15,6,9,3,3,0,0,0,0,243,234,9,12,3,9,9,9,0,..,3,3,3,3,..,3,..,..
Paraguay  [14600],21,24,6,3,3,9,6,6,..,..,3,6,9,6,0,..,3,3,3,6,..,0,0,3,6,3,0,0,..,..
Peru  [14604],663,969,123,165,57,75,129,147,48,39,12,21,273,450,48,72,21,24,45,63,6,12,6,6,165,243,15,30,15,18
Suriname  [14740],12,6,..,..,..,..,..,..,..,..,..,..,6,3,..,..,..,..,..,..,..,..,..,..,3,0,..,..,..,..
Uruguay  [14858],51,54,9,3,12,12,18,18,6,3,6,6,15,18,..,..,0,3,3,6,3,..,3,3,9,12,..,0,3,3
Venezuela  [14862],507,447,33,36,39,33,69,57,6,9,12,6,237,225,9,9,9,12,87,72,12,9,12,9,84,54,0,0,0,3
Austria  [21040],102,180,21,27,33,33,18,30,3,3,12,12,33,63,12,15,9,6,6,15,0,0,3,0,36,63,3,6,12,9
Belgium  [21056],546,852,174,216,78,78,420,654,150,189,63,66,90,126,21,21,12,9,6,6,3,3,0,0,27,54,..,..,3,0
France  [21250],"16,419","20,235","3,594","4,527","1,815","1,923","15,456","18,987","3,504","4,419","1,656","1,758",645,837,57,72,93,108,42,69,9,15,9,12,186,240,12,12,33,27
Germany  [21276],849,"1,566",129,198,282,282,171,306,33,39,72,81,252,459,39,69,75,75,81,147,9,21,30,33,243,486,33,48,75,66
Liechtenstein  [21438],0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..
Luxembourg  [21442],39,54,15,12,9,3,27,33,15,9,9,3,6,18,..,3,..,..,0,3,..,..,..,..,..,..,..,..,..,..
Monaco  [21492],6,6,3,3,..,..,3,3,..,..,..,..,3,3,3,3,..,..,..,..,..,..,..,..,3,3,..,..,..,..
Netherlands  [21528],279,414,24,27,69,66,63,84,3,3,15,12,111,168,12,15,24,24,27,39,6,6,9,9,54,87,3,3,18,18
Switzerland  [21756],324,408,69,75,57,60,150,207,33,48,30,39,93,96,27,18,12,9,9,18,..,3,3,3,57,69,3,3,9,9
Bulgaria  [22100],54,57,9,6,6,6,12,9,3,3,0,0,21,27,0,0,..,..,6,3,0,..,0,..,12,15,3,0,0,3
Belarus  [22112],63,54,3,3,9,9,3,3,3,0,0,0,48,36,3,0,6,6,6,6,3,3,0,0,6,9,0,0,..,..
Czechia  [22203],57,108,3,6,12,18,9,21,0,0,6,6,18,36,0,..,0,3,3,15,0,3,0,3,21,27,0,3,6,3
Estonia  [22233],9,18,3,3,6,6,0,0,..,..,..,..,3,6,..,0,0,3,3,0,3,..,3,..,..,3,..,..,..,..
Hungary  [22348],81,96,12,9,12,12,12,18,3,3,6,3,42,48,3,3,3,6,6,6,0,3,..,..,15,21,3,3,3,3
Latvia  [22428],24,24,3,0,3,6,0,3,0,0,..,3,15,15,0,..,3,3,3,3,..,..,..,..,3,6,..,..,..,3
Lithuania  [22440],18,33,3,..,6,9,3,6,..,..,3,3,9,15,3,..,0,3,3,3,..,..,3,3,3,9,..,..,..,..
Moldova  [22498],21,15,3,0,..,..,6,0,..,..,..,..,9,6,..,3,..,..,3,3,..,0,..,..,3,3,3,..,..,..
Poland  [22616],195,186,54,39,36,33,66,54,42,27,12,12,63,69,6,6,12,9,15,21,0,3,6,6,39,36,3,3,3,3
Romania  [22642],126,132,39,36,24,21,57,60,30,30,12,12,30,36,3,6,6,6,12,6,0,0,3,0,15,21,0,..,0,0
Russian Federation  [22643],"1,620","1,698",96,108,123,132,102,90,15,9,36,36,927,"1,017",27,51,45,51,90,93,15,18,18,18,417,420,24,24,18,18
Slovakia  [22703],93,90,15,15,18,12,6,9,3,3,0,0,12,12,..,..,3,3,0,3,..,..,0,3,9,9,..,..,3,0
Ukraine  [22804],"1,308","1,278",66,63,54,57,57,51,15,9,12,15,885,888,24,21,12,12,75,63,9,6,21,18,201,189,9,15,6,6
Denmark  [23208],69,165,15,9,21,21,24,21,6,..,9,9,15,51,3,3,3,6,6,15,..,..,..,0,15,66,3,3,6,6
England,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Faroe Islands  [23234],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Finland  [23246],87,120,6,6,21,18,15,24,3,3,3,3,39,39,3,3,3,3,9,9,..,..,0,3,21,33,..,3,6,6
Åland Islands  [23248],0,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
